Opportunity ID,Opportunity Name,Entity Owning Equipment,Site Name,Channel Partner,Date Created,Date Closed (Forecast),Date Closed (Actual),Opportunity Value,Bid Currency,Opportunity State,Current Pipeline Stage,Expected Revenue,Date of Last Activity,Date of Next Activity,Probability,State Reason,Won,Trial?,Opportunity Product Quantity,Pricebook Name,Opportunity Owner,Product Family,Archived Field - Product Type ,Product ID,Organization Name,Owner Name,Channel Type,GAP Strategy,GAP Current State,Invoice Number,Purchase Order
35899829,Finning Cat 793 Mag-Shield,Finning Canada,,MagShield Pty Ltd,2022-12-01 17:38:20,2023-06-17 00:00:00,2023-06-12 00:00:00,16662.0,CAD,WON,Following-up PO,16662.0,2025-01-02 14:45:31,2023-07-27 02:00:00,100,,TRUE,FALSE,1.0,,2198544;Jorge Infanta,,Mag-Shield,,Finning Canada,Jorge Infanta,Reseller,,,B101933,4162253
35899832,Finning Cat 793 Mag-Shield,Finning Canada,,MagShield Pty Ltd,2022-12-01 17:38:33,2023-08-17 00:00:00,2023-07-27 00:00:00,16662.0,CAD,WON,Following-up PO,16662.0,2024-12-19 21:46:14,2023-09-10 02:00:00,100,,TRUE,FALSE,1.0,,2198544;Jorge Infanta,,Mag-Shield,,Finning Canada,Jorge Infanta,Reseller,,,B101992,7211106
35899836,Artemis/Finning Cat 793 Mag-Shield,Artemis Gold Inc.,,Finning Canada,2022-12-01 17:38:50,2023-07-11 00:00:00,2023-07-11 00:00:00,16662.0,CAD,WON,Following-up PO,16662.0,2024-12-19 21:45:52,2023-08-25 02:00:00,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,Artemis Gold Inc.,Stacy Dukart,Reseller,,,B101973,7193388
35899838,Artemis/Finning Cat 793 Mag-Shield,Artemis Gold Inc.,,Finning Canada,2022-12-01 17:39:04,2023-07-28 00:00:00,2023-07-11 00:00:00,16662.0,CAD,WON,Following-up PO,16662.0,2024-12-19 21:45:52,2023-08-25 02:00:00,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,Artemis Gold Inc.,Stacy Dukart,Reseller,,,B101983,7193388
35899841,Finning Cat 793 Mag-Shield,Finning Canada,,MagShield Pty Ltd,2022-12-01 17:39:17,2023-08-04 00:00:00,2023-07-25 00:00:00,16662.0,CAD,WON,Following-up PO,16662.0,2024-12-19 21:46:14,2023-09-08 02:00:00,100,,TRUE,FALSE,1.0,,2198544;Jorge Infanta,,Mag-Shield,,Finning Canada,Jorge Infanta,Reseller,,,B101985,7208694
35899866,Finning Cat 793 Mag-Shield,Finning Canada,,MagShield Pty Ltd,2022-12-01 17:39:44,2023-08-31 00:00:00,2023-08-16 00:00:00,17000.0,CAD,WON,Following-up PO,17000.0,2024-12-19 21:46:14,2023-09-30 02:00:00,100,,TRUE,FALSE,1.0,,2198544;Jorge Infanta,,Mag-Shield,,Finning Canada,Jorge Infanta,Reseller,,,B102019,7228205
35899959,Finning Cat 793 Mag-Shield,Finning Canada,,MagShield Pty Ltd,2022-12-01 17:47:34,2023-09-08 00:00:00,2023-09-18 00:00:00,16663.0,CAD,WON,Following-up PO,16663.0,2024-12-19 21:46:14,2023-11-02 01:00:00,100,,TRUE,FALSE,1.0,,2198544;Jorge Infanta,,Mag-Shield,,Finning Canada,Jorge Infanta,Reseller,,,B102049,7259743
35899964,Artemis/Finning Cat 793 Mag-Shield,Artemis Gold Inc.,,Finning Canada,2022-12-01 17:47:50,2023-12-20 00:00:00,2023-12-12 00:00:00,17000.0,CAD,WON,Following-up PO,17000.0,2024-12-19 21:45:53,2024-01-26 01:00:00,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,Artemis Gold Inc.,Stacy Dukart,Reseller,,,B102142,7341446
35899973,Finning Cat 793 Mag-Shield,Finning Canada,,MagShield Pty Ltd,2022-12-01 17:48:51,2023-10-10 00:00:00,2023-10-25 00:00:00,17000.0,CAD,WON,Following-up PO,17000.0,2024-12-19 21:46:14,2023-12-09 01:00:00,100,,TRUE,FALSE,1.0,,2198544;Jorge Infanta,,Mag-Shield,,Finning Canada,Jorge Infanta,Reseller,,,B102092,7297054
35899986,Artemis/Finning Cat 793 Mag-Shield,Artemis Gold Inc.,,Finning Canada,2022-12-01 17:49:52,2023-12-09 00:00:00,2023-12-12 00:00:00,17000.0,CAD,WON,Following-up PO,17000.0,2024-12-19 21:45:53,2024-01-26 01:00:00,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,Artemis Gold Inc.,Stacy Dukart,Reseller,,,B102142,7341446
